Rank,Variation,Score
1,Green|Illustration|Sans-Serif,76
2,Green|Illustration|Serif,71
3,Green|Illustration|Handwritten,71
4,Green|Image|Sans-Serif,70
5,Green|Image|Serif,68
6,Green|Image|Handwritten,67
7,Blue|Illustration|Sans-Serif,66
8,Blue|Illustration|Serif,65
9,Blue|Image|Sans-Serif,64
10,Blue|Illustration|Handwritten,63
11,Green|None|Serif,62
12,Blue|Image|Handwritten,61
13,Green|None|Handwritten,57
14,Blue|Image|Serif,56
15,Green|None|Sans-Serif,51
16,Blue|None|Sans-Serif,49
17,Blue|None|Handwritten,49
18,Blue|None|Serif,45
19,Red|Illustration|Serif,36
20,Red|Illustration|Sans-Serif,32
21,Red|Illustration|Handwritten,30
22,Red|Image|Serif,30
23,Red|Image|Sans-Serif,29
24,Red|Image|Handwritten,28
25,Red|None|Serif,20
26,Red|None|Sans-Serif,20
27,Red|None|Handwritten,20
